FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
999,-24.1506175,-44.1087225,1-OGX-94D-RJS,1OGXCURITIBADRJS,Santos,,S-M-270,RJ,exploratorio,OGX,,,8/29/2012,,,0,,0,0,,
1000,-24.23284194,-44.26885333,3-OGX-85-SPS,3OGXFORTALEZASPS,Santos,,S-M-268,SP,exploratorio,OGX,,,6/12/2012,,,0,,0,0,,
1001,-26.15024222,-43.28562556,3-ESSO-4A-SPS,GUARANI 1- DESVIADO,Santos,,BM-S-22,SP,exploratorio,ESSO SANTOS,seco com indicios de oleo,,5/31/2009,6/22/2009,7/6/2009,2009,,0,0,,
1002,-26.15024222,-43.28562556,3-ESSO-4-SPS,GUARANI 1,Santos,,BM-S-22,SP,exploratorio,ESSO SANTOS,seco com indicios de oleo,,3/10/2009,5/16/2009,7/6/2009,2009,,0,0,,
1003,-26.23669778,-43.67010861,3-ESSO-5-SPS,SABIA1,Santos,,BM-S-22,SP,exploratorio,ESSO SANTOS,produtor subcomercial de oleo,,11/11/2010,12/23/2010,1/6/2011,2011,,0,0,,
1004,-26.17818889,-43.58573611,1-ESSO-3-SPS,AZULAO 1,Santos,,BM-S-22,SP,exploratorio,ESSO SANTOS,portador de oleo,,10/22/2008,2/4/2009,3/4/2009,2009,,0,0,,
1005,-24.34395028,-43.83984056,3-ENI-5-RJS,3ENI5RJS,Santos,,BM-S-4,RJ,exploratorio,ENI OIL,produtor subcomercial de gas,,7/10/2007,12/9/2007,12/9/2007,2007,,0,0,,
1006,-24.29187917,-43.76611,3-ENI-8-RJS,3ENI8RJS,Santos,,BM-S-4,RJ,exploratorio,ENI OIL,portador de oleo e gas,,5/29/2009,8/23/2009,11/16/2009,2009,,0,0,,
1007,-24.41800417,-43.7685025,1-ENI-6A-RJS,1ENI6ARJS,Santos,,BM-S-4,RJ,exploratorio,ENI OIL,portador de gas,,9/6/2007,11/2/2007,11/20/2007,2007,,0,0,,
1008,-24.41799,-43.76885889,9-ENI-7-RJS,9ENI7RJS,Santos,,BM-S-4,RJ,desenvolvimento,ENI OIL,abandonado por outras razoes,,9/3/2007,9/5/2007,9/6/2007,2007,,0,0,,
1009,-24.41826222,-43.76857833,1-ENI-6-RJS,1ENI6RJS,Santos,,BM-S-4,RJ,exploratorio,ENI OIL,abandonado por acidente mecanico,SIM,8/11/2007,8/24/2007,9/1/2007,2007,GSF Celtic Sea,1998,7,GSF Celtic Sea,
1010,-21.8914,-39.83204917,7-FR-2HP-RJS,7ODP1,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,produtor comercial de oleo,,8/30/2008,12/29/2008,1/24/2009,2009,,0,0,,
1011,-21.89710389,-39.83356417,9-FR-13HA-RJS,N5P1PA,Campos,FRADE,FR,RJ,desenvolvimento,CHEVRON FRADE,produtor comercial de oleo,,6/19/2009,6/28/2009,6/30/2009,2009,,0,0,,
